Species Name, Sequence ID, Sequence Edits
"Bomarea_multiflora",EU159964.1,
"Bomarea_pardina",JQ404851.1,
"Guzmania_monostachya",AF162243.1,
"Burmeistera_multiflora",NO_SEQUENCE,
"Centropogon_nigricans",NO_SEQUENCE,
"Centropogon_solanifolius",NO_SEQUENCE,
"Psammisia_sodiroi",AY331905.1,
"Psammisia_ulbrichiana",AY331906.1,
"Besleria_solanoides",JQ589800.1,
"Capanea_affinis",JX196007.1,
"Heliconia_griggsiana",JQ587994.1,
"Stromanthe_stromanthoides",AY140334.1,
"Fuchsia_macrostigma",HM851004.1,
