Initial,Final,Authority
Gesneriaceae  ms1 ,Gesneriaceae Glossoloma oblongicalyx,John Clark
Gesneriaceae  Alloplectus purpureus,Gesneriaceae Glossoloma purpureum,John Clark
Gesneriaceae Alloplectus tenuis?,Gesneriaceae Drymonia tenuis?,John Clark
Gesneriaceae Alloplectus tetragonoides,Gesneriaceae Drymonia collegarum?,John Clark
Gesneriaceae Alloplectus teuscheri,Gesneriaceae Drymonia teuscheri?,John Clark
Gesneriaceae Capanea affinis,Gesneriaceae Kohleria affinis?,John Clark
,Gesneriaceae Gasteranthus wendlandianus?,John Clark
